timestamp,baseline_0,baseline_1,baseline_2,baseline_3baseline_4,baseline_5,baseline_6,baseline_7
2023-05-03 16:55:31,2529399046,2467074230,2541068194,2467665493,2585893416,2456195805,2508167982,2544604873
2023-05-03 17:00:34,2529267968,2466549936,2540806079,2466747987,2585565730,2454426327,2507578152,2543425219
2023-05-03 17:05:38,2529071355,2465829035,2540675015,2466420309,2585500189,2453050067,2507119397,2542835390
2023-05-03 17:10:42,2528678133,2465501349,2540150721,2465830480,2585172503,2451542734,2506398496,2542114488
2023-05-03 17:15:45,2528153840,2464583840,2540150722,2465437258,2584844818,2450297544,2506332954,2541196979
2023-05-03 17:20:49,2527629548,2464190619,2539364285,2464519749,2583992845,2449314500,2505677589,2540541615
2023-05-03 17:25:52,2527564012,2464190619,2539364285,2464454212,2584123917,2449248964,2505612053,2540672687
2023-05-03 17:30:56,2527498476,2464125083,2539298749,2464388676,2584123917,2449183428,2505612053,2540738223
2023-05-03 17:35:59,2527432940,2463994011,2539233213,2464257604,2584123917,2449117892,2505480981,2540672687
2023-05-03 17:41:03,2527301868,2463928475,2539167677,2464192068,2584058381,2448986820,2505415445,2540607151
2023-05-03 17:46:06,2527236332,2463862939,2539036605,2464126532,2583927309,2448921284,2505284373,2540541615
2023-05-03 17:51:10,2527170796,2463731867,2538971069,2463995460,2583861773,2448790212,2505218837,2540410543
2023-05-03 17:56:13,2527039724,2463666331,2538905533,2463929924,2583730701,2448724676,2505153301,2540345007
2023-05-03 18:01:17,2526974188,2463535259,2538774461,2463798852,2583665165,2448593604,2505022229,2540213935
2023-05-03 18:06:20,2526843116,2463469723,2538708925,2463733316,2583534093,2448528068,2504956693,2540148399
2023-05-03 18:11:24,2526777580,2463338651,2538577853,2463602244,2583468557,2448462532,2504825621,2540082863
2023-05-03 18:16:27,2526712044,2463273115,2538512317,2463536708,2583403021,2448331460,2504760085,2539951791
2023-05-03 18:21:31,2526580972,2463207579,2538446781,2463471172,2583271949,2448265923,2504694549,2539886255
2023-05-03 18:26:34,2526515436,2463076507,2538315709,2463340100,2583206413,2448134851,2504563477,2539755183
2023-05-03 18:31:38,2526384364,2463010971,2538250173,2463274564,2583075341,2448069315,2504497941,2539689647
2023-05-03 18:36:42,2526318828,2462879899,2538119101,2463143492,2583009804,2448003779,2504366869,2539558575
2023-05-03 18:41:45,2526187756,2462814363,2538053565,2463077956,2582944268,2447872707,2504301333,2539493038
2023-05-03 18:46:49,2526122220,2462748827,2537922493,2463012420,2582813196,2447807171,2504170261,2539427502
2023-05-03 18:51:52,2526056684,2462617755,2537856957,2462881348,2582747660,2447676099,2504104725,2539296430
2023-05-03 18:56:56,2525925612,2462552219,2537791421,2462815812,2582616588,2447610563,2504039189,2539230894
2023-05-03 19:01:59,2525860076,2462421147,2537660349,2462684740,2582551052,2447479491,2503908117,2539099822
2023-05-03 19:07:03,2525729004,2462355611,2537594813,2462619204,2582485516,2447413955,2503842581,2539034286
2023-05-03 19:12:06,2525663468,2462224539,2537463741,2462488132,2582354444,2447348419,2503711509,2538968750
2023-05-03 19:17:10,2525597932,2462159003,2537398205,2462422596,2582288908,2447217347,2503645973,2538837678
2023-05-03 19:22:13,2525466860,2462093467,2537332669,2462357060,2582157836,2447151811,2503580437,2538772142
2023-05-03 19:27:17,2525401324,2461962395,2537201597,2462225988,2582092300,2447020739,2503449365,2538641070
2023-05-03 19:32:20,2525270252,2461896859,2537136061,2462160452,2581961228,2446955203,2503383829,2538575534
2023-05-03 19:37:24,2525204716,2461765787,2537004989,2462029380,2581895692,2446889667,2503252757,2538444462
2023-05-03 19:42:27,2525139180,2461700251,2536939453,2461963844,2581830156,2446758595,2503187220,2538378926
2023-05-03 19:47:31,2525008108,2461634715,2536873917,2461898308,2581699084,2446693059,2503056148,2538313390
2023-05-03 19:52:34,2524942572,2461503643,2536742845,2461767236,2581633548,2446561987,2502990612,2538182318
2023-05-03 19:57:38,2524811500,2461438107,2536677309,2461701700,2581502476,2446496451,2502925076,2538116782
2023-05-03 20:02:41,2524745964,2461307035,2536546237,2461570628,2581436940,2446430915,2502794004,2537985710
2023-05-03 20:07:45,2524614892,2461241499,2536480701,2461505092,2581371404,2446299843,2502728468,2537920174
2023-05-03 20:12:48,2524549356,2461175963,2536349629,2461439556,2581240332,2446234307,2502597396,2537854638
2023-05-03 20:17:52,2524483820,2461044890,2536284093,2461308484,2581174796,2446103235,2502531860,2537723566
2023-05-03 20:22:56,2524352748,2460979354,2536218557,2461242948,2581043724,2446037699,2502466324,2537658030
2023-05-03 20:27:59,2524287212,2460848282,2536087485,2461111876,2580978188,2445906627,2502335252,2537526958
2023-05-03 20:33:03,2524156140,2460782746,2536021949,2461046340,2580847116,2445841091,2502269716,2537461422
2023-05-03 20:38:06,2524090604,2460651674,2535890877,2460915268,2580781580,2445775555,2502138644,2537395886
2023-05-03 20:43:10,2524025068,2460586138,2535825341,2460849732,2580716044,2445644483,2502073108,2537264814
2023-05-03 20:48:13,2523893996,2460520602,2535759805,2460784196,2580584972,2445578947,2502007572,2537199278
2023-05-03 20:53:17,2523828460,2460389530,2535628733,2460653123,2580519436,2445447875,2501876500,2537068206
2023-05-03 20:58:20,2523697388,2460323994,2535563197,2460587587,2580388364,2445382339,2501810964,2537002670
2023-05-03 21:03:24,2523631852,2460192922,2535432125,2460456515,2580322828,2445316803,2501679892,2536871598
2023-05-03 21:08:27,2523500780,2460127386,2535366589,2460390979,2580257292,2445185731,2501614356,2536806062
2023-05-03 21:13:31,2523435244,2460061850,2535235517,2460325443,2580126220,2445120195,2501483284,2536740526
2023-05-03 21:18:34,2523369708,2459930778,2535169981,2460194371,2580060684,2444989123,2501417748,2536609454
2023-05-03 21:23:38,2523238636,2459865242,2535104445,2460128835,2579929612,2444923587,2501352212,2536543918
2023-05-03 21:28:41,2523173100,2459734170,2534973373,2459997763,2579864076,2444858051,2501221140,2536412846
2023-05-03 21:33:45,2523042028,2459668634,2534907837,2459932227,2579798540,2444726979,2501155604,2536347310
2023-05-03 21:38:48,2522976492,2459537562,2534776765,2459866691,2579667468,2444661443,2501024532,2536281774
2023-05-03 21:43:52,2522910956,2459472026,2534711229,2459735619,2579601932,2444530371,2500958996,2536150702
2023-05-03 21:48:55,2522779884,2459406490,2534645693,2459670083,2579470860,2444464835,2500893460,2536085166
2023-05-03 21:53:59,2522714347,2459275418,2534514621,2459539011,2579405324,2444333763,2500762388,2535954094
2023-05-03 21:59:03,2522583275,2459209882,2534449085,2459473475,2579274252,2444268227,2500696852,2535888558
2023-05-03 22:04:06,2522517739,2459078810,2534318013,2459342403,2579208716,2444202691,2500565780,2535757486
2023-05-03 22:09:10,2522452203,2459013274,2534252477,2459276867,2579143180,2444071619,2500500244,2535691950
2023-05-03 22:14:13,2522321131,2458947738,2534186941,2459211331,2579012108,2444006083,2500434708,2535626414
2023-05-03 22:19:17,2522255595,2458816666,2534055868,2459080259,2578946572,2443875011,2500303636,2535495342
2023-05-03 22:24:20,2522124523,2458751130,2533990332,2459014723,2578815500,2443809475,2500238100,2535429806
2023-05-03 22:29:24,2522058987,2458620058,2533859260,2458883651,2578749964,2443743939,2500107028,2535298734
2023-05-03 22:34:27,2521927915,2458554522,2533793724,2458818115,2578684428,2443612867,2500041492,2535233198
2023-05-03 22:39:31,2521862379,2458488986,2533662652,2458752579,2578553356,2443547331,2499910420,2535167662
2023-05-03 22:44:34,2521796843,2458357914,2533597116,2458621507,2578487820,2443416259,2499844884,2535036590
2023-05-03 22:49:38,2521665771,2458292378,2533531580,2458555971,2578356748,2443350723,2499779348,2534971054
2023-05-03 22:54:41,2521600235,2458161306,2533400508,2458424899,2578291212,2443219651,2499648276,2534839982
2023-05-03 22:59:45,2521469163,2458095770,2533334972,2458359363,2578225676,2443154115,2499582740,2534774446
2023-05-03 23:04:48,2521403627,2457964698,2533203900,2458228291,2578094604,2443088579,2499451668,2534708910
2023-05-03 23:09:52,2521338091,2457899162,2533138364,2458162755,2578029068,2442957507,2499386132,2534577838
2023-05-03 23:14:55,2521207019,2457833626,2533072828,2458097219,2577897996,2442891971,2499320596,2534512302
2023-05-03 23:19:59,2521141483,2457702554,2532941756,2457966147,2577832460,2442760899,2499189524,2534381230
2023-05-03 23:25:02,2521010411,2457637018,2532876220,2457900611,2577701388,2442695363,2499123988,2534315694
2023-05-03 23:30:06,2520944875,2457505946,2532745148,2457769539,2577635852,2442629827,2498992916,2534184622
2023-05-03 23:35:09,2520813803,2457440410,2532679612,2457704003,2577570316,2442498755,2498927380,2534119086
2023-05-03 23:40:13,2520748267,2457374874,2532614076,2457638467,2577439244,2442433219,2498796308,2534053550
2023-05-03 23:45:16,2520682731,2457243802,2532483004,2457507395,2577373708,2442302147,2498730772,2533922478
2023-05-03 23:50:20,2520551659,2457178266,2532417468,2457441859,2577242636,2442236611,2498665236,2533856942
2023-05-03 23:55:24,2520486123,2457047194,2532286396,2457310787,2577177100,2442171075,2498534164,2533725870
2023-05-04 00:00:27,2520355051,2456981658,2532220860,2457245251,2577111564,2442040003,2498468628,2533660334
2023-05-04 00:05:31,2520289515,2456916122,2532089788,2457179715,2576980492,2441974467,2498337556,2533594798
2023-05-04 00:10:34,2520223979,2456785050,2532024252,2457048643,2576914956,2441843395,2498272020,2533463726
2023-05-04 00:15:38,2520092907,2456719514,2531958716,2456983107,2576783884,2441777859,2498206484,2533398190
2023-05-04 00:20:41,2520027371,2456588442,2531827644,2456852035,2576718348,2441646787,2498075412,2533267118
2023-05-04 00:25:45,2519896299,2456522906,2531762108,2456786499,2576587276,2441581251,2498009876,2533201582
2023-05-04 00:30:48,2519830763,2456391834,2531631036,2456655427,2576521740,2441515715,2497878804,2533136046
2023-05-04 00:35:52,2519765227,2456326298,2531565500,2456589891,2576456204,2441384643,2497813268,2533004974
2023-05-04 00:40:55,2519634155,2456260762,2531499964,2456524355,2576325132,2441319106,2497747732,2532939438
2023-05-04 00:45:59,2519568619,2456129690,2531368892,2456393283,2576259596,2441188034,2497616660,2532808366
2023-05-04 00:51:02,2519437547,2456064154,2531303356,2456327747,2576128523,2441122498,2497551124,2532742830
2023-05-04 00:56:06,2519372011,2455933082,2531172284,2456196675,2576062987,2441056962,2497420052,2532611758
2023-05-04 01:01:09,2519240939,2455867546,2531106748,2456131139,2575997451,2440925890,2497354516,2532546221
2023-05-04 01:06:13,2519175403,2455802010,2530975676,2456065603,2575866379,2440860354,2497223444,2532480685
2023-05-04 01:11:16,2519109867,2455670938,2530910140,2455934531,2575800843,2440729282,2497157908,2532349613
2023-05-04 01:16:20,2518978795,2455605402,2530844604,2455868995,2575669771,2440663746,2497092372,2532284077
2023-05-04 01:21:23,2518913259,2455474330,2530713532,2455737923,2575604235,2440598210,2496961300,2532153005
2023-05-04 01:26:27,2518782187,2455408794,2530647996,2455672387,2575538699,2440467138,2496895764,2532087469
2023-05-04 01:31:30,2518716651,2455277722,2530516924,2455541315,2575407627,2440401602,2496764692,2532021933
2023-05-04 01:36:34,2518651115,2455212186,2530451388,2455475779,2575342091,2440270530,2496699156,2531890861
2023-05-04 01:41:37,2518520043,2455146650,2530385852,2455410243,2575211019,2440204994,2496633620,2531825325
2023-05-04 01:46:41,2518454507,2455015578,2530254780,2455279171,2575145483,2440073922,2496502548,2531694253
2023-05-04 01:51:44,2518323435,2454950042,2530189244,2455213635,2575014411,2440008386,2496437012,2531628717
2023-05-04 01:56:48,2518257899,2454818970,2530058172,2455082563,2574948875,2439942850,2496305939,2531497645
2023-05-04 02:01:52,2518192363,2454753434,2529992636,2455017027,2574883339,2439811778,2496240403,2531432109
2023-05-04 02:06:55,2518061291,2454687898,2529927100,2454951491,2574752267,2439746242,2496109331,2531366573
2023-05-04 02:11:59,2517995755,2454556826,2529796028,2454820419,2574686731,2439615170,2496043795,2531235501
2023-05-04 02:17:02,2517864683,2454491290,2529730492,2454754883,2574555659,2439549634,2495978259,2531169965
2023-05-04 02:22:06,2517799147,2454360218,2529599420,2454623811,2574490123,2439484098,2495847187,2531038893
2023-05-04 02:27:09,2517668075,2454294682,2529533884,2454558275,2574424587,2439353026,2495781651,2530973357
2023-05-04 02:32:13,2517602539,2454229145,2529402812,2454492739,2574293515,2439287490,2495650579,2530907821
2023-05-04 02:37:16,2517537003,2454098073,2529337276,2454361667,2574227979,2439156418,2495585043,2530776749
2023-05-04 02:42:20,2517405931,2454032537,2529271740,2454296131,2574096907,2439090882,2495519507,2530711213
2023-05-04 02:47:23,2517340395,2453901465,2529140668,2454165059,2574031371,2438959810,2495388435,2530580141
2023-05-04 02:52:27,2517209323,2453835929,2529075132,2454099523,2573900299,2438894274,2495322899,2530514605
2023-05-04 02:57:30,2517143787,2453704857,2528944060,2453968451,2573834763,2438828738,2495191827,2530449069
2023-05-04 03:02:34,2517078251,2453639321,2528878524,2453902915,2573769227,2438697666,2495126291,2530317997
2023-05-04 03:07:37,2516947179,2453573785,2528812988,2453837379,2573638155,2438632130,2495060755,2530252461
2023-05-04 03:12:41,2516881643,2453442713,2528681916,2453706306,2573572619,2438501058,2494929683,2530121389
2023-05-04 03:17:44,2516750571,2453377177,2528616380,2453640770,2573441547,2438435522,2494864147,2530055853
2023-05-04 03:22:48,2516685035,2453246105,2528485308,2453509698,2573376011,2438369986,2494733075,2529924781
2023-05-04 03:27:51,2516553963,2453180569,2528419772,2453444162,2573310475,2438238914,2494667539,2529859245
2023-05-04 03:32:55,2516488427,2453115033,2528288700,2453378626,2573179403,2438173378,2494536467,2529793709
2023-05-04 03:37:58,2516422891,2452983961,2528223164,2453247554,2573113867,2438042306,2494470931,2529662637
2023-05-04 03:43:02,2516291819,2452918425,2528157628,2453182018,2572982795,2437976770,2494405395,2529597101
2023-05-04 03:48:05,2516291819,2452787353,2528026556,2453050946,2572917259,2437911234,2494274323,2529531565
2023-05-04 03:53:09,2516291819,2452787353,2528026556,2452985410,2572851723,2437845698,2494208787,2529531565
2023-05-04 03:58:12,2516291819,2452721817,2528026556,2452919874,2572851723,2437845698,2494143251,2529531565
2023-05-04 04:03:16,2516291819,2452721817,2528026556,2452854338,2572851723,2437845698,2494143251,2529466029
2023-05-04 04:08:19,2516226282,2452721817,2527961020,2452854338,2572851723,2437780162,2494143251,2529466029
2023-05-04 04:13:23,2516226282,2452721817,2527961020,2452854338,2572786187,2437780162,2494077715,2529466029
2023-05-04 04:18:27,2516226282,2452721817,2527961020,2452788802,2572786187,2437780162,2494077715,2529466029
2023-05-04 04:23:30,2516226282,2452721817,2527961020,2452788802,2572786187,2437780162,2494077715,2529466029
2023-05-04 04:28:34,2516226282,2452721817,2527961020,2452788802,2572786187,2437780162,2494077715,2529466029
2023-05-04 04:33:37,2516226282,2452656281,2527961019,2452788802,2572786187,2437780162,2494077715,2529466029
2023-05-04 04:38:41,2516226282,2452656281,2527961019,2452788802,2572786187,2437780162,2494077715,2529400493
2023-05-04 04:43:44,2516160746,2452656281,2527895483,2452788802,2572786187,2437780162,2494077715,2529400493
2023-05-04 04:48:48,2516160746,2452656281,2527895483,2452788802,2572720651,2437714626,2494012179,2529400493
2023-05-04 04:53:51,2516160746,2452656281,2527895483,2452723266,2572720651,2437714626,2494012179,2529400493
2023-05-04 04:58:55,2516160746,2452656281,2527895483,2452723266,2572720651,2437714626,2494012179,2529400493
2023-05-04 05:03:58,2516160746,2452656281,2527895483,2452723266,2572720651,2437714626,2494012179,2529400493
2023-05-04 05:09:02,2516160746,2452590745,2527895483,2452723266,2572720651,2437714626,2494012179,2529400493
2023-05-04 05:14:05,2516160746,2452590745,2527895483,2452723266,2572720651,2437714626,2494012179,2529334957
2023-05-04 05:19:09,2516095210,2452590745,2527829947,2452723266,2572720651,2437714626,2494012179,2529334957
2023-05-04 05:24:12,2516095210,2452590745,2527829947,2452723266,2572655115,2437649090,2493946643,2529334957
2023-05-04 05:29:16,2516095210,2452590745,2527829947,2452723266,2572655115,2437649090,2493946643,2529334957
2023-05-04 05:34:19,2516095210,2452590745,2527829947,2452657730,2572655115,2437649090,2493946643,2529334957
2023-05-04 05:39:23,2516095210,2452590745,2527829947,2452657730,2572655115,2437649090,2493946643,2529334957
2023-05-04 05:44:26,2516095210,2452590745,2527829947,2452657730,2572655115,2437649090,2493946643,2529334957
2023-05-04 05:49:30,2516095210,2452525209,2527829948,2452657730,2572655115,2437649090,2493946643,2529269421
2023-05-04 05:54:33,2516029674,2452525209,2527764419,2452657730,2572655115,2437649090,2493946643,2529269421
2023-05-04 05:59:37,2516029674,2452525209,2527764430,2452657730,2572589579,2437583554,2493946643,2529269421
2023-05-04 06:04:40,2516029674,2452525209,2527764444,2452657730,2572589579,2437583554,2493881107,2529269421
2023-05-04 06:09:44,2516029674,2452525209,2527764457,2452592194,2572589579,2437583554,2493881107,2529269421
2023-05-04 06:14:48,2516029674,2452525209,2527764471,2452592194,2572589579,2437583554,2493881114,2529269421
2023-05-04 06:19:51,2516029674,2452525209,2527764483,2452592194,2572589579,2437583554,2493881124,2529269421
2023-05-04 06:24:55,2516029674,2452525209,2527764497,2452592196,2572589581,2437583554,2493881137,2529203886
