dateTime,experimentName,duration,braitType,braitDynamic,dcRpmInit,dcRpmMax,dcAlpha,dcK,dcKN,dcKI,dcKD,antennaType,antennaInitSpeed,snsBaselineLeft,snsBaselineRight,snsSensorLeftID,snsSensorRightID,snsSensorLoops,snsStorageSize,sensorSigMax,snsThreshold,snsAbsence,snsThresholdRange,snsInstantRange,snsDynamicRange,snsFilterType,snsFilterCutoff
2023-05-02 14:25:13,updateF_simple_p8_i3,37.92898219400013,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 14:26:19,updateF_simple_p1_i3,33.27599860100054,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 14:27:37,updateF_simple_p7_i3,37.046078432000286,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 14:28:57,updateF_simple_p2_i3,34.68883676599944,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 14:30:16,updateF_simple_p6_i3,35.185908288000064,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 14:31:26,updateF_simple_p3_i3,35.63578599700031,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 14:32:38,updateF_simple_p5_i3,31.941564120000294,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 14:33:45,updateF_simple_p4_i3,35.4640950919993,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 14:34:55,updateF_simple_p0_i4,33.017540206000376,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 14:37:57,updateF_simple_p8_i4,40.332363744999384,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 14:39:08,updateF_simple_p1_i4,35.34526069099957,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 14:40:14,updateF_simple_p7_i4,34.87311642399982,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 14:41:33,updateF_simple_p2_i4,47.32764975200007,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 14:42:43,updateF_simple_p6_i4,31.460739783999088,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 14:44:01,updateF_simple_p3_i4,36.22879727600048,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 14:45:09,updateF_simple_p5_i4,33.127197312000135,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
2023-05-02 14:46:35,updateF_simple_p4_i4,42.99123845900067,1,False,30,50,1,1,1,10,5,2,25.0,2556203912,2493551424,0,1,5,50,6000,500,10,5,5,20,2,0.1
