timestamp,baseline_0,baseline_1,baseline_3
2023-05-04 23:38:39,2535560005,2471662307,2477693426
2023-05-04 23:43:40,2535494469,2471596771,2477562354
2023-05-04 23:48:42,2535363397,2471465699,2477496818
2023-05-04 23:53:43,2535297861,2471400163,2477431282
2023-05-04 23:58:45,2535166789,2471269091,2477300210
2023-05-05 00:03:46,2535101253,2471203555,2477234674
2023-05-05 00:08:47,2534970181,2471072483,2477103602
2023-05-05 00:13:49,2534904645,2471006947,2477038066
2023-05-05 00:18:50,2534773573,2470875875,2476906994
2023-05-05 00:23:51,2534708037,2470810339,2476841458
2023-05-05 00:28:53,2534576965,2470679267,2476710386
2023-05-05 00:33:54,2534511429,2470613731,2476644850
2023-05-05 00:38:55,2534380357,2470482659,2476513778
2023-05-05 00:43:57,2534314821,2470417123,2476448242
2023-05-05 00:48:58,2534183749,2470286051,2476317170
2023-05-05 00:54:00,2534118213,2470220515,2476251634
2023-05-05 00:59:01,2533987141,2470089443,2476120562
2023-05-05 01:04:02,2533921605,2470023907,2476055026
2023-05-05 01:09:04,2533790533,2469892835,2475923954
2023-05-05 01:14:05,2533724997,2469827299,2475858418
2023-05-05 01:19:06,2533593925,2469761763,2475727346
2023-05-05 01:24:08,2533528389,2469630691,2475661810
2023-05-05 01:29:09,2533397317,2469565155,2475530738
2023-05-05 01:34:10,2533331781,2469434083,2475465202
2023-05-05 01:39:12,2533200709,2469368547,2475334130
2023-05-05 01:44:13,2533135173,2469237475,2475268594
2023-05-05 01:49:14,2533004101,2469171939,2475137522
2023-05-05 01:54:16,2532938565,2469040867,2475071986
2023-05-05 01:59:17,2532807493,2468975331,2474940914
2023-05-05 02:04:19,2532741957,2468844259,2474875378
2023-05-05 02:09:20,2532610885,2468778723,2474744306
2023-05-05 02:14:21,2532545349,2468647651,2474678770
2023-05-05 02:19:23,2532479813,2468582115,2474547698
2023-05-05 02:24:24,2532348741,2468451043,2474482162
2023-05-05 02:29:25,2532283205,2468385507,2474351090
2023-05-05 02:34:27,2532152133,2468254435,2474285554
2023-05-05 02:39:28,2532086597,2468188899,2474154482
2023-05-05 02:44:29,2531955525,2468057827,2474088946
2023-05-05 02:49:31,2531889989,2467992291,2473957874
2023-05-05 02:54:32,2531758917,2467861219,2473892338
2023-05-05 02:59:34,2531693381,2467795683,2473761266
2023-05-05 03:04:35,2531562309,2467664611,2473695730
2023-05-05 03:09:36,2531496773,2467599075,2473564658
2023-05-05 03:14:38,2531365701,2467468003,2473499122
2023-05-05 03:19:39,2531300165,2467402467,2473368050
2023-05-05 03:24:40,2531169092,2467271394,2473302514
2023-05-05 03:29:42,2531103556,2467205858,2473171442
2023-05-05 03:34:43,2530972484,2467074786,2473105906
2023-05-05 03:39:44,2530906948,2467009250,2472974834
2023-05-05 03:44:46,2530775876,2466878178,2472909298
2023-05-05 03:49:47,2530710340,2466812642,2472778226
2023-05-05 03:54:49,2530579268,2466681570,2472712690
2023-05-05 03:59:50,2530513732,2466616034,2472581618
2023-05-05 04:04:51,2530382660,2466484962,2472516082
2023-05-05 04:09:53,2530317124,2466419426,2472385010
2023-05-05 04:14:54,2530186052,2466288354,2472319474
2023-05-05 04:19:55,2530120516,2466222818,2472253938
2023-05-05 04:24:57,2530054980,2466091746,2472122866
2023-05-05 04:29:58,2530054980,2466091746,2472057330
2023-05-05 04:34:59,2530054980,2466026210,2471926258
2023-05-05 04:40:01,2530054980,2466026210,2471860722
2023-05-05 04:45:02,2530054980,2466026210,2471860722
2023-05-05 04:50:04,2530054980,2466026210,2471860722
2023-05-05 04:55:05,2529989444,2466026210,2471860722
2023-05-05 05:00:06,2529989444,2466026210,2471860722
2023-05-05 05:05:08,2529989444,2465960674,2471860722
2023-05-05 05:10:09,2529989444,2465960674,2471795185
2023-05-05 05:15:10,2529989444,2465960674,2471795185
2023-05-05 05:20:12,2529989444,2465960674,2471795185
2023-05-05 05:25:13,2529989444,2465960674,2471795185
2023-05-05 05:30:14,2529923908,2465960674,2471795185
2023-05-05 05:35:16,2529923908,2465960674,2471795185
2023-05-05 05:40:17,2529923908,2465895138,2471795185
2023-05-05 05:45:19,2529923908,2465895138,2471729649
2023-05-05 05:50:20,2529923908,2465895138,2471729649
2023-05-05 05:55:21,2529923908,2465895138,2471729649
2023-05-05 06:00:23,2529923908,2465895138,2471729649
2023-05-05 06:05:24,2529858372,2465895138,2471729649
2023-05-05 06:10:25,2529858372,2465895138,2471729649
2023-05-05 06:15:27,2529858372,2465829602,2471664113
2023-05-05 06:20:28,2529858372,2465829602,2471664113
2023-05-05 06:25:29,2529858372,2465829602,2471664113
2023-05-05 06:30:31,2529858372,2465829602,2471664113
2023-05-05 06:35:32,2529858372,2465829602,2471664113
2023-05-05 06:40:33,2529792836,2465829602,2471664113
2023-05-05 06:45:35,2529792836,2465764066,2471664113
2023-05-05 06:50:36,2529792836,2465764066,2471598577
2023-05-05 06:55:38,2529792836,2465764066,2471598577
2023-05-05 07:00:39,2529858372,2465829602,2471598577
2023-05-05 07:05:40,2529923908,2465895138,2471598577
2023-05-05 07:10:42,2529989444,2465960674,2471598577
2023-05-05 07:15:43,2530054980,2466091746,2471598577
2023-05-05 07:20:44,2530186052,2466157282,2471598577
2023-05-05 07:25:46,2530251588,2466288354,2471533041
2023-05-05 07:30:47,2530382660,2466353890,2471533041
2023-05-05 07:35:48,2530448196,2466484962,2471598577
2023-05-05 07:40:50,2530579268,2466550498,2471664113
2023-05-05 07:45:51,2530644804,2466681570,2471729649
2023-05-05 07:50:52,2530775876,2466747106,2471860721
2023-05-05 07:55:54,2530841412,2466878178,2471926257
2023-05-05 08:00:55,2530972484,2466943714,2472057329
2023-05-05 08:05:57,2531038020,2467074786,2472122865
2023-05-05 08:10:58,2531169092,2467140322,2472253937
2023-05-05 08:15:59,2531234628,2467271394,2472319473
2023-05-05 08:21:01,2531365700,2467336930,2472450545
2023-05-05 08:26:02,2531431236,2467468002,2472516081
2023-05-05 08:31:03,2531562308,2467533538,2472647153
2023-05-05 08:36:05,2531627844,2467664610,2472712689
2023-05-05 08:41:06,2531758916,2467730146,2472843761
2023-05-05 08:46:07,2531824452,2467861218,2472909297
2023-05-05 08:51:09,2531955524,2467926754,2473040369
2023-05-05 08:56:10,2532021060,2468057826,2473105905
2023-05-05 09:01:11,2532152132,2468123362,2473236977
2023-05-05 09:06:13,2532217668,2468254434,2473302513
2023-05-05 09:11:14,2532348740,2468319970,2473433585
2023-05-05 09:16:16,2532414275,2468385505,2473499121
2023-05-05 09:21:17,2532545347,2468516577,2473630193
2023-05-05 09:26:18,2532610883,2468582113,2473695731
2023-05-05 09:31:20,2532741955,2468713185,2473826811
2023-05-05 09:36:21,2532807491,2468778721,2473892356
2023-05-05 09:41:22,2532938563,2468909794,2474023441
2023-05-05 09:46:24,2533004109,2468975339,2474088992
2023-05-05 09:51:25,2533135196,2469106426,2474220079
2023-05-05 09:56:26,2533200747,2469171977,2474285630
2023-05-05 10:01:28,2533331834,2469303064,2474416717
2023-05-05 10:06:29,2533397385,2469368615,2474482268
2023-05-05 10:11:30,2533528472,2469499702,2474613355
